feature,odds_ratio_mean,ci_low,ci_high
cat__cp_asymptomatic,3.248628632353511,1.0531491788893002,7.455005145531799
cat__sex_Male,2.235336313364196,0.4603934926256521,6.524006203894781
cat__exang_True,2.095178355874312,0.4597169335797364,6.116715709687289
cat__slope_flat,2.0509098670575985,0.56649670898076,5.547170441290681
num__ca,1.7849295441938748,1.323568018870098,2.4205120250560954
cat__thal_reversable defect,1.7073575228328912,0.46330457771668576,4.559163007895591
num__oldpeak,1.7036858965528925,1.3104355040438904,2.178159437146841
cat__fbs_True,1.5170855651231123,0.3072187180337944,4.724683668182112
cat__restecg_st-t abnormality,1.4759099034068404,0.39541004861738127,4.225942076561344
num__age,1.355944656925146,1.0596231737185493,1.6993958642089044
cat__thal_fixed defect,1.1847451018145811,0.2896388588852087,3.324269323074699
cat__restecg_lv hypertrophy,1.0963121914316338,0.2924316336850705,2.8925978884240786
num__trestbps,1.0811832191892214,0.8712844232917365,1.3444342471361515
cat__cp_typical angina,1.0450973169452868,0.2983119333030596,2.6751756027843574
cat__fbs_False,1.02203334272293,0.2077097688711215,3.2189402175225763
cat__restecg_normal,1.0183030414025094,0.28118850787840227,2.607351356477777
cat__cp_non-anginal,0.9791664083047614,0.3061059156957718,2.290155176424383
cat__slope_downsloping,0.9415370203637246,0.22855434463191113,2.633803047627723
cat__slope_upsloping,0.8922839737294004,0.23544188891016293,2.379230067060402
cat__thal_normal,0.8400892901444196,0.22958201920775503,2.25572140463636
num__thalch,0.7660944319325917,0.5896407322005496,0.9810591893796062
cat__exang_False,0.7330431030949945,0.16410073016344984,2.2133320001646783
cat__sex_Female,0.6728436627321144,0.1374823820476479,2.1034712935772015
num__chol,0.630319566258695,0.4983622584532387,0.786178999637952
cat__cp_atypical angina,0.4631677956187513,0.1456609219342732,1.1176925033202934
